unique_id,ds,LinearRegression,MLPRegressor,LinearRegression-lo-99,LinearRegression-hi-99,MLPRegressor-lo-99,MLPRegressor-hi-99
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:15:00,4058546.857041828,4096623.4175072145,3634755.759030979,4482337.955052677,3764393.741870725,4428853.093143703
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:30:00,4105313.322861539,4143913.2808762267,3521187.73011036,4689438.915612719,3617336.9463996817,4670489.615352772
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:45:00,4012756.9877967592,4049250.826957815,3217460.3294111663,4808053.646182353,3334093.525095551,4764408.128820079
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:00:00,3935086.928468691,3968075.34404245,3506961.3281124304,4363212.5288249515,3646134.037891384,4290016.650193516
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:15:00,4298225.003241457,4331920.92405896,3769643.701211377,4826806.305271537,3771578.9412903897,4892262.90682753
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:30:00,4376727.052939016,4413204.281939482,3909866.043381597,4843588.062496436,3914121.8287269403,4912286.735152024
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:45:00,4377573.065688637,4412997.029136823,3984823.435244381,4770322.696132893,4142864.291916019,4683129.766357627
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:00:00,4637213.6935515925,4668120.414957517,4245154.8305499675,5029272.556553218,4376846.312203002,4959394.5177120315
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:15:00,4709587.740752531,4742151.524303324,4184875.6610857514,5234299.8204193115,4465254.2739595035,5019048.774647144
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:30:00,4697810.024829897,4730994.8840902075,4220830.052602689,5174789.997057105,4487756.69864992,4974233.069530495
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:45:00,4679595.349970307,4709948.742067127,4270144.122177493,5089046.577763122,4406313.357065379,5013584.127068874
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:00:00,4875768.648601294,4899583.190275749,4498480.272362764,5253057.024839823,4636825.827770954,5162340.552780544
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:15:00,5499054.06170897,5525225.48306632,5095695.24180792,5902412.88161002,5352863.674526497,5697587.291606144
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:30:00,5630956.271419118,5656035.070800956,5279616.530448785,5982296.012389451,5527656.530733742,5784413.610868171
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:45:00,5782748.83744705,5802917.841798754,5382561.533281091,6182936.141613009,5572259.5962179825,6033576.087379526
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:00:00,5917811.37239981,5935297.80688176,5451342.93355352,6384279.8112461,5694018.902238615,6176576.711524906
