unique_id,ds,LinearRegression,MLPRegressor,LinearRegression-lo-99,LinearRegression-hi-99,MLPRegressor-lo-99,MLPRegressor-hi-99
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:15:00,4103187.576128472,4106560.688554429,3780687.6038074866,4425687.548449457,3771576.5146655245,4441544.8624433335
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:30:00,4150066.29224539,4153799.5707198014,3632410.0521474266,4667722.532343353,3691061.2149783294,4616537.926461274
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:45:00,4057430.143894636,4057490.8188347644,3327052.375454932,4787807.912334341,3469777.4875576,4645204.1501119295
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:00:00,3979672.7116608005,3976369.9970456376,3665436.3944666185,4293909.028854983,3682716.2240400547,4270023.77005122
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:15:00,4343314.333303452,4353452.389495116,3797859.513186623,4888769.15342028,3800571.2721925434,4906333.506797688
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:30:00,4421805.879828792,4433718.720877105,3946446.8553335345,4897164.904324049,3944176.4601548132,4923260.981599398
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:45:00,4422496.177004828,4432880.184838549,4089167.29032181,4755825.063687846,4207741.816120751,4658018.553556347
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:00:00,4682289.9134135125,4696613.831125079,4345371.521971981,5019208.304855044,4479690.486301743,4913537.175948414
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:15:00,4754784.278708048,4775962.352067946,4413397.310063056,5096171.247353041,4484939.515595606,5066985.188540287
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:30:00,4743053.920886854,4761640.539916088,4434690.198882013,5051417.642891695,4475885.339274842,5047395.740557333
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:45:00,4725198.522712268,4743942.675254088,4366762.035781246,5083635.00964329,4504490.466525072,4983394.883983104
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:00:00,4922025.908773099,4944997.082860514,4661948.659198505,5182103.158347693,4664911.322895134,5225082.842825893
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:15:00,5546669.048532917,5586500.007211967,5351999.1194399195,5741338.977625915,5352687.422392798,5820312.592031137
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:30:00,5679379.932329127,5724988.681629745,5548776.498301327,5809983.366356926,5567180.414801403,5882796.948458088
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:45:00,5831855.045549318,5879804.528152576,5554606.843294261,6109103.247804375,5656667.784885791,6102941.27141936
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:00:00,5967713.150049023,6019886.236185818,5696572.597683307,6238853.70241474,5804055.313177018,6235717.1591946175
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:15:00,6249728.525688139,6305713.96824539,6078673.47081761,6420783.580558668,6198069.662416938,6413358.274073842
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:30:00,6362228.197816382,6419283.867023141,6214193.417526155,6510262.97810661,6224952.723309013,6613615.010737269
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:45:00,6489134.897777747,6549531.454054659,6279244.552545509,6699025.243009985,6343841.322791552,6755221.585317766
