unique_id,ds,LinearRegression,MLPRegressor,LinearRegression-lo-99,LinearRegression-hi-99,MLPRegressor-lo-99,MLPRegressor-hi-99
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:15:00,4065517.9157841797,4106472.9608031088,3800400.077720082,4330635.753848277,3771640.295605431,4441305.626000787
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:30:00,4112511.122650864,4153741.279839849,3616495.797584527,4608526.4477172,3691038.095461633,4616444.464218065
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:45:00,4020109.775710134,4057446.873133039,3309359.311673237,4730860.239747031,3468840.9154739887,4646052.83079209
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:00:00,3942545.653925306,3976204.333613131,3643044.666702997,4242046.641147615,3682916.6313975127,4269492.03582875
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:15:00,4305929.651237624,4353530.542542301,3880069.0438965466,4731790.258578701,3800583.8621908943,4906477.222893707
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:30:00,4384532.002097126,4433493.595358112,3978028.4111906975,4791035.593003554,3944204.0453924206,4922783.145323804
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:45:00,4385359.5804685075,4432628.285682034,4060235.161134207,4710483.999802808,4207843.194043353,4657413.377320714
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:00:00,4645049.609383546,4696300.324965704,4313062.041814125,4977037.1769529665,4478587.01929615,4914013.630635259
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:15:00,4717356.70101678,4776053.445733553,4353304.184848478,5081409.217185082,4481820.268401427,5070286.623065678
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:30:00,4705433.12793596,4761705.011331571,4385259.31910146,5025606.93677046,4474006.293958944,5049403.728704198
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:45:00,4687175.057537633,4744012.143688887,4327500.957791792,5046849.157283474,4503706.474348119,4984317.813029655
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:00:00,4883461.991475578,4945365.211492322,4655410.0437123235,5111513.939238833,4665086.372713582,5225644.050271063
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:15:00,5507298.336648444,5586805.9438416995,5199292.881635194,5815303.791661694,5351856.157715011,5821755.729968388
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:30:00,5639561.218130393,5725359.5683437595,5430290.982802148,5848831.453458638,5564576.5474954285,5886142.589192091
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:45:00,5791639.9566494115,5880206.444550549,5495591.446437065,6087688.466861758,5655785.5111493105,6104627.377951787
