unique_id,ds,LinearRegression,MLPRegressor,LinearRegression-lo-99,LinearRegression-hi-99,MLPRegressor-lo-99,MLPRegressor-hi-99
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:15:00,4087653.8682403727,4106380.65934869,3696515.8375086654,4478791.89897208,3771616.0305269193,4441145.288170461
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:30:00,4133602.1689633974,4153630.5236977614,3496837.910361625,4770366.4275651695,3690931.630606165,4616329.416789358
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:45:00,4040040.855191872,4057359.703762827,3200772.3485178025,4879309.361865941,3468836.5232024854,4645882.884323169
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:00:00,3961598.303039493,3976226.789062959,3546408.3920126148,4376788.214066371,3683057.423192966,4269396.1549329525
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:15:00,4324220.565764589,4353306.573956445,3787049.6393371117,4861391.492192067,3800350.8843237953,4906262.263589094
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:30:00,4402489.133889541,4433471.815730737,3878411.385589368,4926566.882189713,3944050.1115341084,4922893.519927365
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:45:00,4403091.478424359,4432644.1671075495,3961712.0487188287,4844470.908129889,4207871.6182925375,4657416.7159225615
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:00:00,4662557.176747094,4696337.578078806,4216168.313667262,5108946.039826926,4478605.39231967,4914069.763837943
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:15:00,4735166.3467454035,4775796.038492716,4284124.618810271,5186208.074680536,4481467.727961786,5070124.349023646
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:30:00,4724237.802325176,4761474.628330728,4311339.251192817,5137136.353457535,4472927.880887364,5050021.375774092
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:45:00,4706918.228386168,4743776.462594847,4251965.116789627,5161871.33998271,4503426.16306134,4984126.762128354
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:00:00,4903507.018025963,4944885.154608346,4588205.128036353,5218808.9080155725,4664602.11308243,5225168.196134261
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:15:00,5527104.800937936,5586340.3992062975,5267664.2892690925,5786545.312606779,5350745.573336446,5821935.225076149
