unique_id,ds,MSTL,MSTL-lo-99,MSTL-hi-99
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:15:00,3948763.8,3802352.2,4095175.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:30:00,4011017.5,3837460.0,4184574.8
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:45:00,4043051.5,3851450.0,4234652.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:00:00,3952068.0,3745026.8,4159109.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:15:00,4154980.2,3933789.8,4376171.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:30:00,4210434.5,3975993.2,4444875.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:45:00,4282636.5,4035664.0,4529608.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:00:00,4412591.0,4153695.5,4671486.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:15:00,4445175.0,4174882.2,4715467.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:30:00,4578480.5,4297252.5,4859709.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:45:00,4655534.0,4363779.5,4947288.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:00:00,4730382.5,4428469.5,5032296.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:15:00,5038247.0,4726505.0,5349988.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:30:00,5112343.0,4791073.5,5433612.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:45:00,5189971.5,4859448.5,5520494.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:00:00,5332577.5,4993054.0,5672101.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:15:00,5580892.0,5232599.5,5929184.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:30:00,5731451.5,5374606.0,6088297.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:45:00,5823944.0,5458745.5,6189143.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 08:00:00,5896435.0,5523070.0,6269799.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 08:15:00,5929455.5,5548099.5,6310812.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 08:30:00,5891103.5,5501920.5,6280287.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 08:45:00,6044973.0,5648116.5,6441829.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 09:00:00,6055793.5,5651410.0,6460177.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 09:15:00,6170729.0,5758955.5,6582502.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 09:30:00,6114941.5,5695908.5,6533974.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 09:45:00,6146773.0,5720604.5,6572941.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 10:00:00,6164579.5,5731393.0,6597766.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 10:15:00,6152720.5,5712627.5,6592814.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 10:30:00,6212838.0,5765945.0,6659731.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 10:45:00,6157071.5,5703481.0,6610662.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 11:00:00,6182225.0,5722034.0,6642416.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 11:15:00,6143469.0,5676771.0,6610166.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 11:30:00,6175983.5,5702868.5,6649099.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 11:45:00,6209195.0,5729748.5,6688642.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 12:00:00,6230347.0,5744651.0,6716042.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 12:15:00,6204344.5,5712479.0,6696210.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 12:30:00,6256932.5,5758974.0,6754891.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 12:45:00,6267835.0,5763856.5,6771813.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 13:00:00,6352616.5,5842690.0,6862543.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 13:15:00,6291501.5,5775695.0,6807308.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 13:30:00,6277990.0,5756370.0,6799610.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 13:45:00,6290409.0,5763039.5,6817778.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 14:00:00,6292625.0,5759568.0,6825682.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 14:15:00,6244439.5,5705755.0,6783124.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 14:30:00,6292990.0,5748736.0,6837244.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 14:45:00,6212043.5,5662277.0,6761810.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 15:00:00,6141783.5,5586558.5,6697008.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 15:15:00,6092628.0,5531998.0,6653258.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 15:30:00,6195695.0,5629712.0,6761678.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 15:45:00,6050376.5,5479090.0,6621663.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 16:00:00,5991085.0,5414544.0,6567625.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 16:15:00,5921285.0,5339537.0,6503033.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 16:30:00,5929729.5,5342820.5,6516638.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 16:45:00,5900783.5,5308759.0,6492808.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 17:00:00,5776602.0,5179505.5,6373698.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 17:15:00,5698002.5,5095876.5,6300128.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 17:30:00,5567811.5,4960698.0,6174925.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 17:45:00,5486182.0,4874121.5,6098242.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 18:00:00,5452698.5,4835730.5,6069666.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 18:15:00,5331248.5,4709412.5,5953085.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 18:30:00,5385252.5,4758585.5,6011919.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 18:45:00,5392513.5,4761053.0,6023974.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 19:00:00,5293848.0,4657629.5,5930066.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 19:15:00,5239774.5,4598834.0,5880715.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 19:30:00,5252818.5,4607190.0,5898447.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 19:45:00,5294324.0,4644041.5,5944606.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 20:00:00,5126368.0,4471464.5,5781271.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 20:15:00,5041751.0,4382259.0,5701243.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 20:30:00,5030771.0,4366722.5,5694820.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 20:45:00,5044756.5,4376182.0,5713331.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 21:00:00,4988753.0,4315682.5,5661823.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 21:15:00,4702381.5,4024845.8,5379917.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 21:30:00,4715149.5,4033177.5,5397121.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 21:45:00,4749188.0,4062808.5,5435567.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 22:00:00,4613872.5,3923113.5,5304631.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 22:15:00,4444268.5,3749157.5,5139379.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 22:30:00,4455242.0,3755806.2,5154678.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 22:45:00,4438328.5,3734594.2,5142062.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 23:00:00,4378752.5,3670746.0,5086758.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 23:15:00,4335368.5,3623115.8,5047621.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 23:30:00,4430435.5,3713961.2,5146909.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 23:45:00,4383931.5,3663260.5,5104602.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 00:00:00,4274611.5,3549768.2,4999455.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 00:15:00,4387849.0,3658857.2,5116840.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 00:30:00,4401647.5,3668530.8,5134764.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 00:45:00,4331518.5,3594299.8,5068737.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 01:00:00,4344206.5,3602908.5,5085504.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 01:15:00,4352005.0,3606650.5,5097360.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 01:30:00,4403294.0,3653904.2,5152683.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 01:45:00,4396299.5,3642896.8,5149702.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 02:00:00,4380905.5,3623510.5,5138300.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 02:15:00,4421725.5,3660359.0,5183091.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 02:30:00,4412346.0,3647029.2,5177662.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 02:45:00,4473625.5,3704378.5,5242872.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 03:00:00,4367804.0,3594647.0,5140961.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 03:15:00,4014931.8,3237883.8,4791979.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 03:30:00,4010242.8,3229323.8,4791161.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 03:45:00,4077216.5,3292445.5,4861987.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 04:00:00,3993744.5,3205140.0,4782349.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 04:15:00,4131776.0,3339357.0,4924195.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 04:30:00,4148443.0,3352227.5,4944658.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 04:45:00,4250789.0,3450795.0,5050783.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 05:00:00,4300758.0,3497003.0,5104512.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 05:15:00,4367395.0,3559897.0,5174893.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 05:30:00,4485312.0,3674088.0,5296535.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 05:45:00,4591650.5,3776717.8,5406583.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 06:00:00,4646731.5,3828107.0,5465356.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 06:15:00,4908190.0,4085890.0,5730490.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 06:30:00,5000369.5,4174410.2,5826329.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 06:45:00,5168894.0,4339292.0,5998496.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 07:00:00,5288495.0,4455265.5,6121724.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-07 07:15:00,5550165.0,4713324.0,6387005.5
