unique_id,ds,MSTL,MSTL-lo-99,MSTL-hi-99
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:15:00,3948929.0,3802517.5,4095340.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:30:00,4011249.5,3837670.8,4184828.2
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:45:00,4043318.2,3851664.2,4234972.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:00:00,3952345.5,3745219.8,4159471.2
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:15:00,4155246.5,3933942.2,4376551.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:30:00,4210672.0,3976090.0,4445254.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:45:00,4282828.0,4035690.2,4529966.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:00:00,4412718.5,4153635.0,4671802.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:15:00,4445275.0,4174773.0,4715777.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:30:00,4578628.5,4297171.5,4860086.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:45:00,4655783.0,4363780.5,4947785.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:00:00,4730763.5,4428584.5,5032942.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:15:00,5038777.0,4726753.0,5350801.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:30:00,5113037.5,4791469.5,5434605.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:45:00,5190838.5,4860002.0,5521675.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:00:00,5333617.0,4993764.5,5673469.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:15:00,5582090.5,5233455.0,5930726.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:30:00,5732769.5,5375567.0,6089972.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:45:00,5825311.5,5459742.5,6190880.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 08:00:00,5897751.5,5524003.5,6271499.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 08:15:00,5930562.0,5548810.5,6312314.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 08:30:00,5891879.5,5502288.0,6281470.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 08:45:00,6045416.0,5648140.0,6442692.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 09:00:00,6056021.5,5651206.0,6460836.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 09:15:00,6171152.0,5758935.5,6583368.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 09:30:00,6115910.5,5696424.0,6535397.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 09:45:00,6148229.5,5721596.0,6574863.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 10:00:00,6166054.0,5732392.0,6599716.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 10:15:00,6153751.5,5713172.5,6594330.5
