unique_id,ds,MSTL,MSTL-lo-99,MSTL-hi-99
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:15:00,3948914.0,3802493.8,4095334.2
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:30:00,4011242.8,3837645.0,4184840.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:45:00,4043327.5,3851641.2,4235014.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:00:00,3952369.8,3745198.2,4159541.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:15:00,4155282.8,3933920.0,4376645.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:30:00,4210720.0,3976068.5,4445371.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:45:00,4282888.0,4035670.0,4530105.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:00:00,4412790.5,4153617.2,4671963.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:15:00,4445343.0,4174742.5,4715943.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:30:00,4578670.5,4297106.5,4860235.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:45:00,4655790.0,4363673.0,4947906.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:00:00,4730740.0,4428439.0,5033041.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:15:00,5038732.5,4726578.5,5350886.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:30:00,5112976.0,4791272.0,5434680.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:45:00,5190766.5,4859786.5,5521746.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:00:00,5333541.5,4993539.5,5673543.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:15:00,5582140.5,5233350.0,5930931.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:30:00,5733155.5,5375792.0,6090519.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:45:00,5826185.0,5460449.0,6191920.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 08:00:00,5899204.5,5525284.5,6273125.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 08:15:00,5932678.5,5550749.0,6314608.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 08:30:00,5894729.5,5504955.0,6284504.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 08:45:00,6049005.5,5651541.0,6446470.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 09:00:00,6060291.5,5655283.0,6465299.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 09:15:00,6176049.5,5763635.0,6588463.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 09:30:00,6121400.5,5701710.5,6541090.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 09:45:00,6154227.5,5727387.0,6581068.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 10:00:00,6172429.5,5738555.5,6606304.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 10:15:00,6160321.5,5719526.0,6601117.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 10:30:00,6219946.5,5772336.5,6667556.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 10:45:00,6163651.0,5709329.0,6617973.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 11:00:00,6188448.0,5727511.5,6649384.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 11:15:00,6149669.0,5682212.0,6617126.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 11:30:00,6182381.5,5708493.5,6656269.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 11:45:00,6215804.5,5735571.5,6696037.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 12:00:00,6236976.0,5750481.0,6723471.0
