unique_id,ds,HistoricAverage,HistoricAverage-lo-99,HistoricAverage-hi-99,SeasonalNaive,SeasonalNaive-lo-99,SeasonalNaive-hi-99,DynamicOptimizedTheta,DynamicOptimizedTheta-lo-99,DynamicOptimizedTheta-hi-99
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:15:00,4817769.5,1930053.9,7705485.0,3744000.0,2415305.8,5072694.0,4136897.0,3996585.8,4280063.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:30:00,4817769.5,1930053.9,7705485.0,3760000.0,2431305.8,5088694.0,4192243.5,4012969.2,4385126.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 03:45:00,4817769.5,1930053.9,7705485.0,3744000.0,2415305.8,5072694.0,4212288.5,3992548.5,4428470.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:00:00,4817769.5,1930053.9,7705485.0,3808000.0,2479305.8,5136694.0,4244595.5,3975080.0,4518325.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:15:00,4817769.5,1930053.9,7705485.0,4016000.0,2687305.8,5344694.0,4405075.0,4118672.5,4676936.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:30:00,4817769.5,1930053.9,7705485.0,4016000.0,2687305.8,5344694.0,4473786.5,4156843.5,4739313.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 04:45:00,4817769.5,1930053.9,7705485.0,4096000.0,2767305.8,5424694.0,4542689.5,4142662.0,4860534.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:00:00,4817769.5,1930053.9,7705485.0,4304000.0,2975305.8,5632694.0,4674735.0,4262894.0,5028287.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:15:00,4817769.5,1930053.9,7705485.0,4336000.0,3007305.8,5664694.0,5029616.0,4658263.0,5392175.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:30:00,4817769.5,1930053.9,7705485.0,4336000.0,3007305.8,5664694.0,5240003.5,4795806.5,5694107.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 05:45:00,4817769.5,1930053.9,7705485.0,4528000.0,3199305.8,5856694.0,5406607.0,4894909.5,5919510.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:00:00,4817769.5,1930053.9,7705485.0,4608000.0,3279305.8,5936694.0,5545070.0,5048293.0,6026579.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:15:00,4817769.5,1930053.9,7705485.0,5152000.0,3823305.8,6480694.0,5732050.0,5186973.0,6256421.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:30:00,4817769.5,1930053.9,7705485.0,5392020.0,4063325.8,6720714.0,5849539.5,5198415.5,6348975.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 06:45:00,4817769.5,1930053.9,7705485.0,5552092.0,4223398.0,6880786.0,6015723.5,5429625.5,6560427.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:00:00,4817769.5,1930053.9,7705485.0,5745656.0,4416962.0,7074350.0,6226188.5,5570800.0,6867716.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:15:00,4817769.5,1930053.9,7705485.0,5927944.0,4599250.0,7256638.0,6377199.5,5689752.5,7052531.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:30:00,4817769.5,1930053.9,7705485.0,6080416.0,4751722.0,7409110.0,6430421.5,5626025.0,7132852.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 07:45:00,4817769.5,1930053.9,7705485.0,6246284.0,4917590.0,7574978.0,6544543.0,5674912.5,7334192.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 08:00:00,4817769.5,1930053.9,7705485.0,6417732.0,5089038.0,7746426.0,6609765.5,5716159.0,7320854.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 08:15:00,4817769.5,1930053.9,7705485.0,6520224.0,5191530.0,7848918.0,6692852.5,5753036.5,7465007.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 08:30:00,4817769.5,1930053.9,7705485.0,6567436.0,5238742.0,7896130.0,6703725.5,5711829.5,7425999.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 08:45:00,4817769.5,1930053.9,7705485.0,6717296.0,5388602.0,8045990.0,6755961.0,5764690.5,7579946.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 09:00:00,4817769.5,1930053.9,7705485.0,6702012.0,5373318.0,8030706.0,6792619.5,5719225.5,7635637.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 09:15:00,4817769.5,1930053.9,7705485.0,6807308.0,5478614.0,8136002.0,6876592.0,5876531.0,7754840.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 09:30:00,4817769.5,1930053.9,7705485.0,6677572.0,5348878.0,8006266.0,6840176.0,5845318.5,7736850.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 09:45:00,4817769.5,1930053.9,7705485.0,6735612.0,5406918.0,8064306.0,6829784.5,5910473.0,7749300.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 10:00:00,4817769.5,1930053.9,7705485.0,6761224.0,5432530.0,8089918.0,6850177.0,5803631.5,7750426.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 10:15:00,4817769.5,1930053.9,7705485.0,6707028.0,5378334.0,8035722.0,6857590.5,5699717.5,7762289.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 10:30:00,4817769.5,1930053.9,7705485.0,6768756.0,5440062.0,8097450.0,6816584.5,5581733.0,7818679.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 10:45:00,4817769.5,1930053.9,7705485.0,6688572.0,5359878.0,8017266.0,6801839.0,5496436.0,7871411.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 11:00:00,4817769.5,1930053.9,7705485.0,6729352.0,5400658.0,8058046.0,6803286.0,5494038.0,7796279.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 11:15:00,4817769.5,1930053.9,7705485.0,6678568.0,5349874.0,8007262.0,6817892.5,5569163.0,7810114.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 11:30:00,4817769.5,1930053.9,7705485.0,6601924.0,5273230.0,7930618.0,6855972.5,5585982.5,7949373.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 11:45:00,4817769.5,1930053.9,7705485.0,6682876.0,5354182.0,8011570.0,6877629.0,5551407.5,7934176.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 12:00:00,4817769.5,1930053.9,7705485.0,6689848.0,5361154.0,8018542.0,6897743.0,5544539.5,7891087.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 12:15:00,4817769.5,1930053.9,7705485.0,6628224.0,5299530.0,7956918.0,6913707.0,5470917.0,7925437.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 12:30:00,4817769.5,1930053.9,7705485.0,6783896.0,5455202.0,8112590.0,6913681.0,5520272.0,7859680.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 12:45:00,4817769.5,1930053.9,7705485.0,6808380.0,5479686.0,8137074.0,6894793.5,5481101.0,7914945.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 13:00:00,4817769.5,1930053.9,7705485.0,6773928.0,5445234.0,8102622.0,6892098.0,5441916.0,8018786.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 13:15:00,4817769.5,1930053.9,7705485.0,6672512.0,5343818.0,8001206.0,6922641.5,5445484.5,8078618.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 13:30:00,4817769.5,1930053.9,7705485.0,6735796.0,5407102.0,8064490.0,6870799.5,5329631.5,7890447.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 13:45:00,4817769.5,1930053.9,7705485.0,6709396.0,5380702.0,8038090.0,6869854.5,5412314.0,7955077.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 14:00:00,4817769.5,1930053.9,7705485.0,6616892.0,5288198.0,7945586.0,6820331.5,5357054.0,7888139.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 14:15:00,4817769.5,1930053.9,7705485.0,6584944.0,5256250.0,7913638.0,6761373.5,5241333.0,7803962.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 14:30:00,4817769.5,1930053.9,7705485.0,6642012.0,5313318.0,7970706.0,6700481.0,5167147.5,7680729.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 14:45:00,4817769.5,1930053.9,7705485.0,6600480.0,5271786.0,7929174.0,6633903.5,5173630.0,7620162.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 15:00:00,4817769.5,1930053.9,7705485.0,6470992.0,5142298.0,7799686.0,6580077.0,5152853.5,7543488.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 15:15:00,4817769.5,1930053.9,7705485.0,6514632.0,5185938.0,7843326.0,6486795.5,5111008.0,7473351.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 15:30:00,4817769.5,1930053.9,7705485.0,6593908.0,5265214.0,7922602.0,6381570.5,4939247.0,7381485.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 15:45:00,4817769.5,1930053.9,7705485.0,6544808.0,5216114.0,7873502.0,6233402.0,4910163.0,7188831.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 16:00:00,4817769.5,1930053.9,7705485.0,6480060.0,5151366.0,7808754.0,6170595.5,4922877.5,7194130.0
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 16:15:00,4817769.5,1930053.9,7705485.0,6336016.0,5007322.0,7664710.0,5999836.0,4815989.5,7005352.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 16:30:00,4817769.5,1930053.9,7705485.0,6464008.0,5135314.0,7792702.0,5886438.5,4669161.5,6901721.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 16:45:00,4817769.5,1930053.9,7705485.0,6240000.0,4911306.0,7568694.0,5731556.0,4478256.5,6722982.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 17:00:00,4817769.5,1930053.9,7705485.0,6080000.0,4751306.0,7408694.0,5668678.5,4445762.0,6654600.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 17:15:00,4817769.5,1930053.9,7705485.0,6080000.0,4751306.0,7408694.0,5564013.5,4271044.0,6507320.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 17:30:00,4817769.5,1930053.9,7705485.0,5856000.0,4527306.0,7184694.0,5502770.0,4202089.5,6494627.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 17:45:00,4817769.5,1930053.9,7705485.0,5680000.0,4351306.0,7008694.0,5457766.5,4059061.2,6523138.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 18:00:00,4817769.5,1930053.9,7705485.0,5584000.0,4255306.0,6912694.0,5427293.0,4087155.5,6426372.5
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-06 18:15:00,4817769.5,1930053.9,7705485.0,5456000.0,4127305.8,6784694.0,5370992.5,4195550.0,6386153.0
